Activity Period Start Date;GEO Summary;Activity Type Code;Cargo Metici TONs;Year;Month No;Month Name;graphica.com.frequency (1);graphica.com.clusters (1)
"Mon, 01 May 2023 00:00:00 GMT";"Domestic";"Deplaned";36676;"2023";20;"May";4;"cluster 1"
"Thu, 01 Jun 2023 00:00:00 GMT";"Domestic";"Deplaned";43158;"2023";24;"June";4;"cluster 1"
"Sat, 01 Jul 2023 00:00:00 GMT";"Domestic";"Deplaned";42728;"2023";28;"July";4;"cluster 1"
"Tue, 01 Aug 2023 00:00:00 GMT";"Domestic";"Deplaned";41280;"2023";32;"August";4;"cluster 1"
"Fri, 01 Sep 2023 00:00:00 GMT";"Domestic";"Deplaned";42082;"2023";36;"September";4;"cluster 1"
"Sun, 01 Oct 2023 00:00:00 GMT";"Domestic";"Deplaned";44866;"2023";40;"October";4;"cluster 1"
"Wed, 01 Nov 2023 00:00:00 GMT";"Domestic";"Deplaned";45459;"2023";44;"November";4;"cluster 1"
"Fri, 01 Dec 2023 00:00:00 GMT";"Domestic";"Deplaned";46800;"2023";48;"December";4;"cluster 1"
"Mon, 01 Jan 2024 00:00:00 GMT";"Domestic";"Deplaned";38963;"2024";4;"January";4;"cluster 1"
"Thu, 01 Feb 2024 00:00:00 GMT";"Domestic";"Deplaned";38348;"2024";8;"February";4;"cluster 1"
"Fri, 01 Mar 2024 00:00:00 GMT";"Domestic";"Deplaned";44750;"2024";12;"March";4;"cluster 1"
"Mon, 01 Apr 2024 00:00:00 GMT";"Domestic";"Deplaned";44578;"2024";16;"April";4;"cluster 1"
"Wed, 01 May 2024 00:00:00 GMT";"Domestic";"Deplaned";51501;"2024";20;"May";4;"cluster 1"
"Sat, 01 Jun 2024 00:00:00 GMT";"Domestic";"Deplaned";54015;"2024";24;"June";4;"cluster 1"
